Milage,Mode,Ri
1.21,1,1
1.48,2,0
1.53,2,0
1.66,2,0
1.81,2,1
2.3,3,0
2.41,1,0
2.49,1,0
2.75,1,1
3.61,2,0
3.64,1,0
3.76,1,1
5.27,1,1
5.37,1,0
5.47,1,0
5.51,1,1
6.39,2,0
7,3,0
8.28,2,0
8.62,1,0
10.21,3,0
10.26,2,1
10.74,3,0
10.78,2,0
10.82,3,0
11.19,1,0
11.46,1,0
11.55,1,0
11.64,1,1
12.08,1,0
12.76,1,0
13.15,3,0
13.74,1,0
14.18,1,0
14.59,2,0
16.42,2,0
16.43,2,0
21.19,2,1
21.56,2,0
24,1,0
28,1,1
38,3,0
40.05,2,0
40.35,3,1
40.92,3,0
41,1,0
47.1,2,0
47.66,2,0
48.41,2,0
48.93,2,0
54,2,0
59,2,1
61.59,2,0
61.65,1,0
62.37,1,0
62.71,1,0
74,3,0
76,2,1
77.22,1,0
81,2,0
97,3,0
98,1,0
102,2,0
109.27,1,0
109.55,2,0
117,2,0
120,3,0
121,2,0
123,3,0
124,2,0
125.06,3,0
125.31,3,0
127,3,1
129.99,1,1
136,2,0
138,3,0
149.07,1,0
149.07,1,0
153.08,1,0
153.26,1,0
154,1,1
156,3,0
157,3,0
170,1,0
174,1,1
182,2,0
189,2,0
196.07,2,0
196.21,2,0
196.81,3,0
210,2,0
218,3,1
223.85,1,0
223.87,2,0
237,2,1
248,1,1
250,3,0
259,1,0
288,3,0
293,2,0
294,3,0
300,3,0
309,2,0
313.45,3,0
313.65,3,0
325,3,0
329,1,0
331,1,0
367,1,0
374,3,0
378,3,0
386,1,0
395,3,0
396.44,1,0
396.76,1,0
397.59,1,0
397.99,1,0
400,1,0
408,2,0
416,2,0
436,3,0
447,1,0
461.68,2,0
461.97,3,0
470,3,0
484,3,0
490,2,0
503,3,0
509.3,2,0
509.49,2,0
514,2,0
515,3,0
519,2,0
520,1,0
525.62,3,0
526,2,0
532,2,0
535,2,0
543,3,0
558.1,2,0
558.79,2,0
559,3,0
562,3,0
567,2,0
569,1,0
590.55,1,0
590.98,2,0
604.09,3,0
604.39,2,0
604.54,2,0
604.82,2,0
620.45,1,0
620.8,1,0
620.82,1,0
645,3,0
654.26,3,0
654.27,1,0
665,1,0
677,3,0
696,3,0
709,3,0
753,3,0
756,3,0
760.03,3,0
760.65,3,0
760.7,2,0
